Parametro,Covariable,Coeficiente,Errorestandar,Pvalor,Exponencial
delta,0,-0.49,0.165,0.00291,0.613
delta,1,-2.031,0.444,0,0.131
delta,2,-2.888,0.318,0,0.056
delta,3,-0.096,0.136,0.48033,0.908
gamma,0,0.834,0.145,0,2.302
gamma,1,0.112,0.169,0.50659,1.119
gamma,2,1.273,0.158,0,3.572
gamma,3,0.057,0.087,0.51462,1.059
gamma,4,-1.346,0.106,0,0.26
gamma,5,0.069,0.633,0.91259,1.072
kappa, ,0.548,0.076,0,NaN
sigma, ,0.706,0.025,0,NaN
